sample,alpha,kappa,beta_0
0,0.9812614959233671,1.8229168328578675,1.6542415272768143
1,0.36471484931282416,6.673522543216291,0.6481234392390448
2,0.623235079523738,1.3160436341576447,1.3828357597761174
3,0.5137783401793176,1.2773263701921143,1.4766807828446533
4,0.4625899326212487,6.523944612838755,0.6312643250373133
5,0.6349319060208906,3.871152155484641,1.1067643601380894
6,0.3460654755164115,4.0057547374124285,0.2078234853810025
7,0.6925861475123303,3.738910446120339,0.6312983725534428
8,0.5067572592364126,3.700299028514971,0.44037085253362696
9,0.7752131994685949,4.136872946755133,1.300283166158561
10,-0.12068456981844851,1.602975175109425,-0.6213122311995586
11,-0.0601334213906968,2.8222775635375097,0.9232790240242585
12,1.4171904962690733,2.514202167031083,0.609289610320974
13,-0.3513097877287029,3.031789397615512,0.8392850608869254
14,-0.3138687039598736,2.400093658056213,0.7347837911446297
15,0.9251185253392522,3.914449304283052,0.5480354568910558
16,0.6367149085629036,2.1774153049637053,1.7199930311289844
17,0.379903214442773,2.5254424080128848,1.3499081455819177
18,1.3598003781098118,0.6515000965044552,0.798623233336394
19,1.584509862723213,0.4789628602697685,1.6178196782149397
20,0.24506299281717692,7.140087540613861,0.6890725868970555
21,1.2244695716133787,5.224075985594693,1.7272583524716547
22,0.6891239896648701,2.336013953284778,0.6113376219751944
23,0.4441676952911275,5.0460036585520065,1.1018710877772044
24,0.9774717362746592,1.5076625925985336,0.4601476461646414
25,0.5399469540355529,4.060791699101182,0.3111095432472414
26,-0.10095788297379996,0.9468337063781801,0.05849542574056691
27,0.9785975255858165,5.706804530035029,1.1233223294643917
28,0.3162639172510919,1.256835777974743,1.0477453586679837
29,0.6394881367654485,4.697054791998601,0.9080076865240838
30,0.30987948560011114,2.446951957491611,0.14399701165755366
31,1.2669338601817788,2.569759262356894,2.1214422374924844
32,0.42922952506930323,2.4468858736516412,1.5465925058539594
33,0.11125791810663228,3.746228559691311,0.8173809103442661
34,-0.4331098986516675,3.2263886036362117,1.2075321229956426
35,-0.5064072528205045,2.0104375600654842,0.5838258269506549
36,1.1207555230890305,3.3428535796101966,0.3861323407522685
37,-0.3408087707599685,1.3238369902652811,0.4879449412412521
38,-0.15351561649688716,1.8048868304178698,0.806226994889568
39,0.7844359970901978,3.4424442548239447,0.652287076613766
40,0.3111812659089956,2.2247832882085534,0.2944815289452721
41,0.5401312575798188,1.4755858519684744,-0.07543451428749302
42,0.36628448513558404,1.4514437726660478,-0.5047181011998606
43,0.4226549342260482,1.3937585337706477,-0.23967704851866994
44,-0.22688534572025484,2.646263449824738,0.26958425784867496
45,0.6255448835043285,3.042733963422397,0.9489285280260769
46,0.6185249591996704,4.2773067293991245,1.0423444193761282
47,0.34701487725644586,1.0939689199091571,0.814953927593456
48,0.423426769971333,4.915518729083277,0.420021084437945
49,-0.650293810251706,1.5236260961104924,0.6466445397683939
50,0.27265842137686186,1.6187812631104814,0.7461402926533623
51,0.7411119270123395,1.3043286255711082,0.3845582443093924
52,0.3385875273819326,0.9852934811189639,-0.9616583862412087
53,0.46017187498888995,0.8807016928660282,0.768631224006797
54,1.02666018893331,0.8858086369498193,1.0845565698839992
55,1.1197923305657815,0.9007531842175333,1.2330670031109194
56,1.0277926633244039,0.8163746391341988,0.8141661538202996
57,-0.44130794851929855,0.4978023878583982,0.5223429581812757
58,-0.4782988830411195,2.2046972850616613,0.38724477077409464
59,-0.43711909341907695,2.229841130138069,1.0102474382436306
60,0.11904137974419209,2.477393840344544,0.797351037090437
61,0.8978914210029054,7.0727375868109865,1.1001445883322791
62,0.8978914210029054,7.0727375868109865,1.1001445883322791
63,-0.15058399263254138,2.4534150719239216,1.5179166980172205
64,-0.28181308602781935,2.1996416604767264,1.010826091026296
65,-0.055072776439993275,2.776048189019498,1.5299347278007167
66,0.9488971792473214,1.635357986415611,-0.13103122339221487
67,0.822561715142077,0.503088713673468,-0.8554811842869505
68,0.265406240927254,0.35500674454441894,-2.2720498369437223
69,0.14410946748263295,0.23403187652287852,-1.520937695860099
70,-1.376748336323329,1.5474826649892057,0.7315226918812268
71,-0.2019101250454832,1.501192880941045,-0.43756213615738243
72,0.3093071606144779,0.9492219610196891,1.3366514753958296
73,-0.08192412167048702,4.676538407923052,0.7129378994394339
74,0.5498121678445415,3.402377686928015,0.26259233378855334
75,0.7944064633064197,3.3923460119491997,0.7734866592575014
76,0.6025213701151658,3.306940185750273,0.6933217713486435
77,0.341281572657675,1.945131696779476,0.6229309574326236
78,-0.047347948976402425,2.8376537711489362,1.0987940614484792
79,0.7427697924950207,2.273222087881357,0.31463299314994647
80,0.1807572955910831,4.067134000903841,0.4760761128161798
81,0.3580976534879859,1.44317333247985,0.4578457629638324
82,0.5001776594403401,2.3496912938633647,0.56926537107695
83,0.33944402931208534,2.8266586248354066,0.008640395946289793
84,0.40693375264608866,4.0312900206732465,0.1390171442223836
85,0.39937815893841844,1.663800610229528,0.815875201048904
86,0.8968667116927684,2.2513447317225963,0.08418118094512142
87,1.0916652550443888,3.179337654772391,1.3929984957841672
88,1.1224484818687044,1.8035019433061859,0.6596177933901581
89,-0.08937828255366463,2.6878177711382,0.10541577751036922
90,0.8434638164338175,2.805008881638801,0.8507894241934437
91,0.8292937066984463,2.8323022180312654,0.3282414377806217
92,0.8253322754924554,4.573110859548705,0.6324888874523253
93,0.018234241045222248,1.611296236814618,0.5674549910213504
94,0.4458364424029324,1.7531254819235051,0.2100369269436019
95,0.4295979186061278,5.031089333522593,1.5031200573539751
96,-0.08607172007344034,3.6474548530377877,-0.08144298840607421
97,0.665202986779152,1.382841993739082,0.519398169238235
98,0.300769473843538,0.6233403439623371,-0.2212854753979953
99,0.40928106173049605,10.30131762315769,1.0825693880922351
100,-0.31963083833970396,0.44222154152420756,0.29058155302705224
101,0.9728498848385823,1.5510227077945613,-0.8262439786493342
102,0.7782466329605314,1.7669625747486333,-0.6711171760418373
103,0.6035313050235862,2.8242131954777268,-0.061931297564804914
104,0.5749517816191057,3.0865261616611135,1.9042006587020428
105,0.2666686736980176,1.9936249509563808,-0.9760341943471122
106,0.5985726747705437,1.1327947105146654,2.458688954601166
107,0.722130211268744,1.4650527860537017,2.148506822471925
108,0.09236487157312806,3.1523980681227157,-0.929966792221193
109,0.5946691492480678,1.8189827290329845,0.6389801380350828
110,0.667871585918118,2.3607510088629287,1.2014393955257996
111,0.8896823735912974,2.658638635872831,1.733835260105102
112,1.359783466959121,1.691179041751378,0.13628031142162705
113,2.008673863722427,1.8918244012755454,-0.044343579811698036
114,-0.47734207656968425,1.8945649316987079,0.3085060462731391
115,1.2479181314319037,3.433650172769542,1.0066619890196493
116,1.0974262009354805,4.594096474791848,1.5266085728294607
117,1.3862872779565256,4.670200237379792,1.968003286026783
118,1.456374302179527,4.306129793055951,2.332214492727573
119,0.10719243171381757,3.9025478930519273,0.787574788625697
120,1.116539447331298,3.1486900913387883,1.0598903971042035
121,0.041265178221363316,2.528356704448251,0.9843957288192727
122,0.5578020884088111,1.7090620715216231,0.68346153206782
123,0.09485532275660603,3.194504125100307,0.22438397665596566
124,1.0037109792107548,3.243731584741424,1.4710505910600882
125,0.025707546074134557,2.603807527205439,0.367800453024398
126,0.025707546074134557,2.603807527205439,0.367800453024398
127,0.7892202777557855,3.7219271701416874,1.3433676438690576
128,0.41493453547294623,2.447378507707419,1.121156582661717
129,0.553425197520657,3.7083319772860777,0.6133212070047496
