sample,alpha,kappa,beta_0,beta_1
0,1.8591035472030084,3.3188614565840546,0.49184112082684406,0.6543172555209655
1,1.1933877799566392,3.6935878127673463,0.37724979317145335,0.632886405164426
2,1.07541542331788,3.7054935038312187,0.4059259652402931,0.62563062721118
3,-4.664915877017373,1.6011096811918855,0.10505835923785818,0.7899287247361465
4,-0.06156833401710241,2.7884811513794556,0.41666431162683026,0.7768562366741534
5,-0.0428981574987367,2.7733857301128726,0.38307942630284675,0.8092792332297696
6,-0.260780195283756,2.614096405923944,0.4286572463438577,0.7723193756240063
7,2.2072905542100405,1.2557570148385029,0.23100358940318025,0.23972441587351195
8,2.192827305162719,1.2713360876308961,0.2311573796432085,0.23311198688502344
9,2.1164721729792304,1.0235174433712841,0.07071485108329971,-0.022383433737013257
10,-2.837189688884593,2.567172797928609,-0.22899310358509795,-0.09944060522378412
11,1.3152726725237107,4.290072070603245,0.7664719773670147,1.313638700235082
12,1.0127940758501635,2.793322349500282,0.47769011602268874,0.7568177233008591
13,4.186763364758325,3.5987165264687695,0.38686750709735235,0.3196146002250634
14,0.9184322223391375,2.63044869576091,0.21676555335996722,0.36724753181941533
15,-1.1904411266902428,4.5758320802367365,0.18786810337728635,0.5016346773930156
16,-0.5939752037253987,1.9022043837904294,0.09975058772425657,0.15295067053622183
17,-0.5898243144425636,1.961408610794428,0.06923271758607082,0.16852314016981157
18,-1.822215221432627,2.051367377406411,0.16034832793111561,0.4889270958694709
19,-1.4299800013965582,3.4489805402947877,-0.0004571838691913425,0.2601744790577236
20,1.7502432724950419,2.4591299639933366,0.3127238237651672,0.4963547497065674
21,1.7054111074964153,2.5151671425315794,0.29665589709232704,0.5131096365261414
22,1.71596815492702,2.5679376161038783,0.2729876527144016,0.5232151665874286
23,3.3730198893890018,1.8329080745695687,0.304540625281143,0.22035782333901174
24,3.6871097898315637,1.9770559755719492,0.3026007494399408,0.16028103780628888
25,-2.3747252541347614,6.223755730221364,-0.09307898729383453,0.13524065110648026
26,-1.8445959460526795,3.6157099709131564,0.3356882722540057,0.8636275853954856
27,-0.9479392376135389,3.9047962849394593,0.3627123057221807,0.8290421446802017
28,1.528987748570646,4.4792375169672605,0.39537761321728876,0.5676733757077501
29,-0.11600823522409964,2.5379646970350582,0.36386439839764934,0.6767526253120728
30,-0.27410612591145334,3.3789843069050636,0.2353770985273518,0.4527678692812984
31,2.4161648874923474,2.877925608402476,0.30082533745502554,0.3067513819695663
32,0.46202823303565627,2.568899197215752,0.3638877934598647,0.6339504396347514
33,-0.25624398246857777,4.665658721559975,0.19242644156134384,0.4353429377783625
34,-1.3568813788024312,8.092790105799956,0.20357629104585184,0.561827015397304
35,1.5548182051636654,4.833695764869478,0.22338538680614728,0.2687908848861341
36,-0.4624714245453087,5.9871027205233025,0.1461052105389851,0.34137354902998424
37,-0.493238446699074,2.95515410622757,0.30074237651787594,0.6821814890218881
38,-0.618975743112086,4.1812365051517535,0.0701752580532831,0.26435652616829414
39,2.593690313416,3.36784600681152,0.5245905151247732,0.7191699000688877
40,0.8482057210978369,2.965296453241568,0.18491621694089372,0.2559755934222987
41,1.921230378945116,5.251425393952474,0.39828593597212797,0.5458899175614714
42,-2.2966960006371546,3.644495523735934,0.140022599793351,0.6096033719920907
43,-0.26204662522370553,2.368986807546355,-0.14538226587719724,-0.126620206031496
44,-0.41634790037807157,2.517046522330372,-0.08574487290607763,-0.177700481972796
