sample,alpha,kappa,beta_0
0,3.545704549002212,2.3900050811514655,0.243238495257872
1,-0.500682007242699,1.316782675748846,-0.02575492304967157
2,-1.5783862343590005,4.410453371149217,-0.12472766266543843
3,-1.3626454435253086,4.54869664263484,-0.14553532842077935
4,-3.273465091177232,1.7491776500676393,-0.28719660386518003
5,-3.741411197942521,3.80110808781974,-0.32166436498216366
6,-4.133121699852625,4.561263393217662,-0.3508460931119362
7,-0.12903528558746558,2.4655950288669577,-0.02204618950249533
8,-0.6138654927459092,4.105313476653619,-0.04807508780515495
9,1.8791278689182074,1.7110963273670277,0.09715050241354195
10,2.630021779678549,1.927923084895711,0.20229323872716468
11,2.1675693522896164,2.6213089076349467,0.12289891394014035
12,3.084745457809648,1.9835765777879506,0.19983623011478285
13,3.676560199377747,1.2535781994401882,0.2593095558077926
14,3.6125322717671735,1.863568939072512,0.252215372741239
15,0.462212924708596,1.6082370669405468,0.011998493669291621
16,3.460992857864093,2.27925235263572,0.2317779468571745
17,3.226746412820278,2.1594931147136256,0.21813058975067323
18,-1.4538577594322035,5.1695313503354,-0.08684393255522757
19,-4.587251585665807,1.0287171993145916,-0.4139670476938445
20,5.790679418028779,1.3476097343197426,0.3364848429070222
21,6.349246670750875,2.5592854203438824,0.4833262503849297
22,6.3085747048519405,2.575144951117745,0.4091970290294223
23,6.413544773214019,2.3846016845881133,0.48324407385985546
24,7.086186715264369,2.0940118949359534,0.3964500139253336
25,6.387856398899246,1.990470520102928,0.43201910597411575
26,-0.5308651553040328,1.1922487487730462,-0.05467727754372235
27,-0.7645072671664705,1.4251133962342775,-0.05608100857133472
28,-0.6297125361215946,2.520040546966216,-0.09136325803158497
29,-0.796340013551515,2.4113268606652327,-0.10088421609589203
30,-0.6725036263422788,2.4229975383987816,-0.048579963499607026
31,2.856578352169254,1.9907958635815586,0.2189121755232449
32,2.793494663796108,1.4720080792455617,0.20855723606137574
33,1.860374998611999,2.019580345323421,0.08893308369056481
34,1.0706307869875815,1.9747000421950847,0.11776128087144787
35,-0.4343840402219587,1.8603256708047398,-0.06588118766585052
36,1.1885555179616072,3.2328662247419806,0.04835246040021195
37,0.08228061618228043,4.0491509563793455,-0.010452639617940287
38,1.7381862292264767,3.284693537962639,0.07699340148747104
39,-0.7867881944512631,2.0096941969803286,-0.08730174366390034
40,-0.51501359689504,2.0499082565299744,-0.116106388505693
41,-0.190901499355721,4.1773311968528635,-0.05701226675026815
42,0.5630134412104576,3.971013188187953,0.04329715945992291
43,1.043203476458647,1.7559442942490817,0.05641823565330252
44,1.7423067142950115,1.5128182466189042,0.03018132267070317
45,2.5903668145034424,2.055364189984718,0.14038704599008273
46,-0.45813639291444935,2.2114435462124487,-0.0878974793002214
47,-0.7209348871631736,1.6451418739931132,-0.059402980232459136
48,0.19306588414649703,1.9004367105303233,0.02111157704909464
49,1.7563938174767415,3.4078675493694757,0.16236344492801216
50,2.5759408518336437,2.6570965100036217,0.19076938932870202
51,0.6556661347166115,1.352221267226378,0.008021423712921461
52,-1.4472550492750245,0.8667891892376105,-0.05970403523386628
53,-1.8326097020482996,2.281303074107775,-0.15494258501382693
54,1.0462795667260951,1.9783477588601541,0.08211228530501788
55,-1.4703636860859628,3.383861311951732,-0.1188010530814891
56,0.6435213250225442,3.28258642600938,-0.0010945364761570018
57,2.2048416435092975,5.611656935232603,0.13035180578144726
58,2.191387874617411,3.997443058742334,0.16173655017555805
59,0.5546551990080071,2.3528246425420885,-0.05254222418249206
60,0.012809706268677345,2.4252099302662042,-0.007988473758052209
61,-1.0068593536956274,0.8949634424334207,-0.0739453014317809
62,0.4468220765291612,6.314635970425619,0.018876875181983162
63,0.8489337695802807,6.129112681650678,0.04533241615137349
64,1.5455461289507464,2.1422030171810276,0.11312397258024805
65,2.018777362079394,2.312133060237809,0.11558892079893954
66,1.8047007641987636,2.166916416043199,0.15879524358745017
