sample,alpha,kappa,beta_0,beta_1,beta_2
0,-2.995894374428558,4.455853862146355,0.767693613360194,0.2337771967317563,0.8124521819897657
1,-2.6057851158367096,3.3615402612118217,0.049540147994942815,0.3051978860615753,0.8498577889803379
2,-2.5624044342243733,3.3389060750799064,0.4891186788161973,0.3934403035858948,1.007355342221382
3,-2.566469169359078,1.87847797128616,0.11019350891562758,0.44649133888113685,1.0839097871060956
4,0.529693245354889,5.598465691383173,0.09403460637358053,0.09837342690054314,0.20759873131051718
5,0.6783987906555194,3.678770396628144,0.7723345928618005,0.46320275620493306,0.7710756581280352
6,3.4114341890628137,6.675825395330068,0.8543413650806492,0.5544425856052383,0.7262140719805118
7,0.7727938654489307,7.287455709228248,0.27958767967117176,0.36147323815815646,0.6450238773951267
8,2.8501471123599718,3.4298166389791946,1.728262071319928,0.4282401159752862,0.5256496764758177
9,2.6609890926920823,8.908507496821152,1.4330075811840397,0.48189835024345495,0.6547541255565644
10,1.8512818733337226,3.6096829220905438,0.3096529742056749,0.5936592523708245,0.929605881231279
11,-0.7078859367466702,9.83930527919782,1.8977898783186147,0.1122783225997201,0.3596651832209795
12,-1.9671875471457831,3.4177541462139915,1.1942304236595518,0.13626698742115537,0.526034101511418
13,1.1191080411356833,1.753145684758328,0.5951450739542279,0.43914692830396174,0.7126367390195993
14,0.36687037481393364,7.763507727906481,0.8737667638586251,0.05232336938223654,0.1420686777333538
15,-1.66666187940205,4.095584842977452,2.119330280603512,0.029342371439051444,0.34137575334397186
16,-2.8471922280538577,4.708548445905477,2.223145265212876,-0.07458495636773615,0.31430910572771675
17,0.3077011264181857,6.517033227058423,0.5876222230555042,0.27855322083948586,0.5650200926226364
18,1.655374336529564,5.38610483829989,0.7833799133159504,0.2401781722453159,0.26309568861745775
19,-0.08664433564146184,6.764833290914575,2.1441539032781485,0.3907098810451469,0.885219633535285
20,-1.1313497925141287,6.132788508229635,0.7690031878277647,0.053047442516767136,0.3064534862272025
21,0.16085825865056985,3.3654640844321926,1.33227498480386,0.06791710293635116,0.20753613594193232
22,-0.03513950555120493,2.957800677395392,1.251914047239661,0.11288331763786583,0.23273206681006858
23,3.6387986825731233,5.628915061793692,0.25277893637091053,0.5096675350736591,0.531554681962543
24,5.122668803760776,3.01599744424946,-0.03470152153849663,0.5313077695626282,0.3935233900881502
25,4.180604542140796,3.254416500159494,-0.4244414426709073,0.43430462247711205,0.28965830858324154
26,-3.937969264041225,6.560118421586892,1.346291596051853,-0.1016307023146722,0.3917611603009862
27,-4.399513923087245,3.1557251793803234,1.7720121207646935,0.017932003262606733,0.6510743666952592
28,2.534651527195711,5.527601838981186,0.9466612786498617,0.24159364422910315,0.20828757170005344
29,-2.8225203644964676,4.476429567256347,0.45753944942872454,0.4207716328054133,1.2033525898914357
30,1.371261480781513,2.3083383831809225,2.3225845083048107,0.018545582236656765,-0.03354698159129658
