underdrain_col,u_mps,dp_pa,medium,mean_diameter_m,equiv_diameter_m,porosity,sphericity_recorded
Pumice stone 1,1.2e-05,0.000692034456826111,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.2e-05,0.07384896402834669,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.2e-05,0.0063806851115377275,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.2e-05,0.005632573970779726,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.2e-05,0.013079285407460974,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.3e-05,0.0007499945629708351,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.3e-05,0.08001044478310074,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.3e-05,0.006914304617531115,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.3e-05,0.0061029921701201695,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.3e-05,0.014172573851970797,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.4e-05,0.000807999371896464,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.4e-05,0.08617306406386377,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.4e-05,0.0074482157768627445,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.4e-05,0.006573569913323506,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.4e-05,0.0152663773724634,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.5e-05,0.0008660488836029982,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.5e-05,0.0923368218706358,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.5e-05,0.007982418589532617,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.5e-05,0.007044307200389736,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.5e-05,0.016360695968938785,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.6e-05,0.0009241430980904367,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.6e-05,0.09850171820341684,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.6e-05,0.008516913055540733,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.6e-05,0.007515204031318856,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.6e-05,0.017455529641396954,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.7e-05,0.0009822820153587803,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.7e-05,0.10466775306220685,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.7e-05,0.009051699174887089,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.7e-05,0.007986260406110867,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.7e-05,0.018550878389837898,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.8e-05,0.0010404656354080287,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.8e-05,0.11083492644700589,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.8e-05,0.009586776947571691,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.8e-05,0.008457476324765775,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.8e-05,0.019646742214261624,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,1.9e-05,0.001098693958238182,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,1.9e-05,0.11700323835781389,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,1.9e-05,0.010122146373594534,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,1.9e-05,0.008928851787283573,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,1.9e-05,0.020743121114668132,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2e-05,0.00115696698384924,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2e-05,0.12317268879463092,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2e-05,0.010657807452955618,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2e-05,0.009400386793664265,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2e-05,0.021840015091057423,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.1e-05,0.0012152847122412032,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.1e-05,0.1293432777574569,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.1e-05,0.011193760185654947,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.1e-05,0.009872081343907846,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.1e-05,0.022937424143429492,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.2e-05,0.001273647143414071,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.2e-05,0.1355150052462919,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.2e-05,0.011730004571692517,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.2e-05,0.010343935438014321,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.2e-05,0.02403534827178434,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.3e-05,0.0013320542773678436,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.3e-05,0.14168787126113594,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.3e-05,0.012266540611068329,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.3e-05,0.01081594907598369,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.3e-05,0.02513378747612197,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.4e-05,0.001390506114102521,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.4e-05,0.1478618758019889,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.4e-05,0.012803368303782384,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.4e-05,0.011288122257815949,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.4e-05,0.026232741756442385,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.5e-05,0.0014490026536181037,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.5e-05,0.15403701886885096,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.5e-05,0.013340487649834684,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.5e-05,0.011760454983511104,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.5e-05,0.027332211112745582,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.6e-05,0.0015075438959145906,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.6e-05,0.1602133004617219,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.6e-05,0.013877898649225222,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.6e-05,0.012232947253069145,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.6e-05,0.028432195545031548,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.7e-05,0.001566129840991983,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.7e-05,0.1663907205806019,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.7e-05,0.014415601301954004,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.7e-05,0.012705599066490082,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.7e-05,0.0295326950533003,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.8e-05,0.0016247604888502795,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.8e-05,0.17256927922549087,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.8e-05,0.01495359560802103,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.8e-05,0.01317841042377391,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.8e-05,0.030633709637551836,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,2.9e-05,0.0016834358394894817,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,2.9e-05,0.17874897639638887,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,2.9e-05,0.0154918815674263,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,2.9e-05,0.013651381324920634,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
Pumice stone 5,2.9e-05,0.031735239297786155,White pebbles,0.014716666666666668,0.009713000000000001,0.3448275862068966,0.66
Pumice stone 1,3e-05,0.0017421558929095885,Medium pumice stones,0.012549999999999999,0.008282999999999999,0.66,0.66
Pumice stone 2,3e-05,0.18492981209329587,Pea gravels,0.0056,0.003696,0.3620689655172414,0.66
Pumice stone 3,3e-05,0.01603045918016981,Glass marbles,0.01574,0.0103884,0.39655172413793105,0.66
Small pumice stone ,3e-05,0.014124511769930247,Small pumice stones,0.006958333333333334,0.0045925,0.5689655172413793,0.66
