medium,k_mean,k_hdi_2.5,k_hdi_97.5,beta_mean,beta_hdi_2.5,beta_hdi_97.5,psi_mean,psi_hdi_2.5,psi_hdi_97.5,gdi_mean,gdi_hdi_2.5,gdi_hdi_97.5
Glass marbles,1.2409504633997696e-07,1.2382486668735077e-07,1.2490560594916057e-07,1935.9486695263065,1621.9876029310542,2877.8321843341814,1.0036070548625975,1.0025157114293528,1.0068811683983983,0.0,0.0,0.0
Medium pumice stones,1.7545617414967024e-06,1.2402047268795533e-06,2.8256633677118923e-06,4728.723974189941,1470.5009279071573,10066.899313407746,1.2042542905631024,1.0441614928735714,1.5,0.0,0.0,0.0
Pea gravels,1.5264305929662214e-08,1.0682264719738322e-08,2.675148299338652e-08,336624.14548236656,7165.86878940472,1021935.5834169666,1.1524653985798166,1.0028410750668661,1.5,0.0,0.0,0.0
Small pumice stones,1.4194456467589417e-07,1.401680147438888e-07,1.463372718272982e-07,2550.664085327113,953.2379043277086,6425.393429131179,1.0090708297201458,1.0027762081258407,1.0246063363096716,0.0,0.0,0.0
White pebbles,6.041743851061489e-08,6.037924430265028e-08,6.053062417853317e-08,3021.8678529303897,2859.0453695290885,3499.4306718552307,1.0028267997218334,1.0025099166408786,1.0037658517421135,0.0,0.0,0.0
