,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,-0.115,1.849,-3.526,3.674,0.043,0.032,1834.0,1880.0,1.0
beta[0],0.864,0.732,-0.524,2.323,0.015,0.011,2278.0,2177.0,1.0
beta[1],0.231,0.204,-0.157,0.639,0.005,0.004,1556.0,1912.0,1.0
beta[2],0.493,0.305,-0.16,1.085,0.008,0.007,1615.0,1971.0,1.0
kappa,4.435,2.27,0.799,8.977,0.047,0.035,2134.0,2242.0,1.0
