,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.423,1.868,-3.203,4.159,0.041,0.031,2069.0,2003.0,1.0
beta[0],0.263,0.218,-0.17,0.682,0.006,0.004,1306.0,1820.0,1.0
beta[1],0.47,0.327,-0.192,1.114,0.009,0.007,1242.0,1358.0,1.0
kappa,3.372,1.679,0.57,6.673,0.038,0.032,1739.0,1705.0,1.0
