model,rank,elpd_loo,p_loo,elpd_diff,weight,se,dse,warning,scale
combined,0,-0.9948629877824446,2.861641401347918,0.0,0.3980572619286185,0.9384702850733884,0.0,True,log
volumetric,1,-1.6909256434256132,2.1331393269769023,0.6960626556431686,0.23388287594212503,1.089724439555492,1.4259010444603544,False,log
gdi,2,-1.8617512651363715,1.6987133991168557,0.8668882773539268,0.18860788288090602,1.1896346988884534,1.4792017979525416,True,log
hydraulic,3,-1.8715571467231165,2.7084694426742386,0.8766941589406718,0.1794519792483505,1.1539604151445244,0.3459928898562436,False,log
