,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.005,1.962,-3.981,3.824,0.06,0.048,1083.0,951.0,1.0
beta[0],-0.027,0.147,-0.339,0.243,0.005,0.004,1074.0,1046.0,1.0
kappa,2.431,1.195,0.403,4.745,0.031,0.027,1425.0,1352.0,1.0
