Medium,Porosity $\varepsilon$,Void volume (mL),Retained (g),Washed out (g),Retention $R$
Pea gravels,0.3620689655172414,105.0,126.97,20.53,0.8608135593220338
White pebbles,0.3448275862068966,100.0,47.099999999999994,100.1,0.3199728260869565
Glass marbles,0.39655172413793105,115.0,19.099999999999994,128.2,0.12966734555329257
Small pumice stones,0.5689655172413793,165.0,129.56,19.940000000000005,0.8666220735785953
Medium pumice stones,0.66,191.4,127.97,19.130000000000003,0.8699524133242692
