,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha,0.43,0.486,-0.561,1.362,0.009,0.008,3054.0,2246.0,1.0
beta[0],0.649,0.72,-0.883,1.976,0.013,0.013,3095.0,2493.0,1.0
kappa,2.82,1.422,0.634,5.79,0.026,0.025,2660.0,2331.0,1.0
